,ID,위도,경도,위치정보,연락처,주차시설,평점,주소,업체유형,가게명,지점명,판매자ID,판매상품목록
0,96820813,37.51826292,126.76388845,"(37.51826292,126.76388845)",02-628-2989,NULL,5.2,"경기 부천시 오정구 석천로345,  300동 114호(삼정동 365)",편의점,GS25,GS252테크노파크점,53392222,"['커피', '음료수', '물']"
1,14372105,38.00414846,128.73283627,"(38.00414846,128.73283627)",02-805-4789,NULL,5.5,"강원 양양군 현북면 동해대로1242, 38선휴게소 (잔교리 41-10, 38휴게소)",편의점,GS25,GS2538선휴게소점,8191146,"['커피', '음료수', '물']"
2,1477966,37.52831065,126.87486792,"(37.52831065,126.87486792)",02-812-9817,NULL,3.6,"서울 양천구 목동서로159-1 (목1동 917-1, CBS방송국1층)",편의점,GS25,GS25CBS점,34132409,"['커피', '음료수', '물']"
3,21795031,37.5783899,126.89294205,"(37.5783899,126.89294205)",02-171-3311,NULL,3.3,"서울 마포구 매봉산로75, 1층 107호 (상암동 1610)",편의점,GS25,GS25DDMC점,15622997,"['커피', '음료수', '물']"
4,92047329,37.57410234,126.91639401,"(37.57410234,126.91639401)",02-442-3798,NULL,4.9,"서울 서대문구 가재울미래로2, 203동 101호 (남가좌동 385, 2단지)",편의점,GS25,GS25DMC가재울점,68613971,"['커피', '음료수', '물']"
5,28606144,37.5250955,127.05158476,"(37.5250955,127.05158476)",02-601-9778,NULL,3.9,"서울 강남구 도산대로529, 4층 (청담동 125-17, KRA프라자)",편의점,GS25,GS25R서울강남4점,83625590,"['커피', '음료수', '물']"
6,64577473,37.50502169,127.05179352,"(37.50502169,127.05179352)",02-521-8813,NULL,3.9,"서울 강남구 테헤란로416, 마사회선릉지사 7층 (대치동 890-8, 연봉빌딩)",편의점,GS25,GS25R선릉7점,75641128,"['커피', '음료수', '물']"
7,46239733,37.51442446,127.06028283,"(37.51442446,127.06028283)",02-055-2332,NULL,3.9,"서울 강남구 봉은사로지하 601, , 9호선봉은사역 내 (삼성동 111-8)",편의점,GS25,GS25S9봉은사역점,33908847,"['커피', '음료수', '물']"
8,52970367,37.51164542,127.04855386,"(37.51164542,127.04855386)",02-643-2771,NULL,4.4,서울 강남구 봉은사로지하 501 (삼성동 111-147),편의점,GS25,GS25S9삼성중앙역점,17137470,"['커피', '음료수', '물']"
9,99699361,37.50662704,127.03197969,"(37.50662704,127.03197969)",02-050-0482,NULL,3.0,"서울 강남구 봉은사로지하 102, 9호선 신논현역 지하 상가 (역삼동)",편의점,GS25,GS25S9신논현역점,15575895,"['커피', '음료수', '물']"
10,66679999,37.50748345,127.03423077,"(37.50748345,127.03423077)",02-114-7020,NULL,3.0,"서울 강남구 봉은사로지하 201, 지하 1층 926-1호  (논현동 279-165, 9호선 언주역)",편의점,GS25,GS25S9언주역점,37028780,"['커피', '음료수', '물']"
11,47033144,37.51697895,127.04177805,"(37.51697895,127.04177805)",02-368-5580,NULL,5.3,서울 강남구 삼성동1 7호선강남구청역내,편의점,GS25,GS25S강남구청역점,2657010,"['커피', '음료수', '물']"
12,9723056,37.49784131,127.02863248,"(37.49784131,127.02863248)",02-800-9307,NULL,3.1,"서울 강남구 강남대로390, 지하1층 9호 (역삼동 825, 미진프라자)",편의점,GS25,GS25S강남역1호점,92710251,"['커피', '음료수', '물']"
13,58832889,37.49784131,127.02863248,"(37.49784131,127.02863248)",02-704-2732,NULL,5.4,"서울 강남구 강남대로390, B3층 38호  (역삼동 825)",편의점,GS25,GS25S강남역2호점,94956317,"['커피', '음료수', '물']"
14,61657168,37.49784131,127.02863248,"(37.49784131,127.02863248)",02-475-8436,NULL,3.6,"서울 강남구 강남대로390, 지하3층 (역삼동 825, 신분당선)",편의점,GS25,GS25S강남역3호점,19123309,"['커피', '음료수', '물']"
15,33463785,37.51419073,127.03135035,"(37.51419073,127.03135035)",02-418-0471,NULL,3.8,"서울 강남구 학동로지하 102, 지하1층, GS25 S논현역점(논현역 상가1004) (논현동 279-67)",편의점,GS25,GS25S논현역점,28016962,"['커피', '음료수', '물']"
16,84457962,37.48697736,127.04667313,"(37.48697736,127.04667313)",02-175-1606,NULL,4.0,"서울 강남구 남부순환로지하 2744, 매봉역내 333-03호 (도곡동 179-2)",편의점,GS25,GS25S매봉역점,42977244,"['커피', '음료수', '물']"
17,27206775,37.51684337,127.01976639,"(37.51684337,127.01976639)",02-438-2397,NULL,3.5,"서울 강남구 강남대로616 (신사동 501, 지하철3호선신사역내327-03호)",편의점,GS25,GS25S신사역점,50615218,"['커피', '음료수', '물']"
18,14729155,37.51919311,127.05152372,"(37.51919311,127.05152372)",02-515-8460,NULL,5.3,"서울 강남구 학동로87길7, (7호선청담역)  (청담동 75-1, 현대아파트)",편의점,GS25,GS25S청담역점,1836470,"['커피', '음료수', '물']"
19,89034567,37.51419073,127.03135035,"(37.51419073,127.03135035)",02-669-0415,NULL,3.7,"서울 강남구 학동로지하 180 (논현동 279-67, 지하상가)",편의점,GS25,GS25S학동역점,40561234,"['커피', '음료수', '물']"
20,98446589,37.47160588,127.09017911,"(37.47160588,127.09017911)",02-915-8082,NULL,3.9,"서울 강남구 자곡로3길22, LH강남3단지 상가동 1층 101호 (자곡동 621)",편의점,GS25,GS25강남LH점,91301181,"['커피', '음료수', '물']"
21,34792150,37.49985525,127.03248557,"(37.49985525,127.03248557)",02-514-9155,NULL,5.5,"서울 강남구 테헤란로129, 강남N타워 GF층 7호 (역삼동 648-17)",편의점,GS25,GS25강남N타워점,60294960,"['커피', '음료수', '물']"
22,34157209,37.49947669,127.02807975,"(37.49947669,127.02807975)",02-051-6407,NULL,5.5,서울 강남구 강남대로94길9 (역삼동 818-14),편의점,GS25,GS25강남YBM점,81525645,"['커피', '음료수', '물']"
23,36237228,37.47919916,127.04530212,"(37.47919916,127.04530212)",02-830-6263,NULL,5.0,"서울 강남구 개포로15길10, 1층 (개포동 1244-14)",편의점,GS25,GS25강남개포점,70970721,"['커피', '음료수', '물']"
24,97713365,37.50683671,127.03779064,"(37.50683671,127.03779064)",02-467-7949,NULL,5.1,"서울 강남구 논현로106길42, 1층 (역삼동 656-3)",편의점,GS25,GS25강남갤러리점,44481435,"['커피', '음료수', '물']"
25,56856462,37.50359433,127.02696322,"(37.50359433,127.02696322)",02-789-5298,NULL,4.8,서울 강남구 강남대로110길26 (역삼동 811-4),편의점,GS25,GS25강남리츠칼튼점,6685728,"['커피', '음료수', '물']"
26,38968808,37.49860238,127.02804585,"(37.49860238,127.02804585)",02-756-5869,NULL,5.8,"서울 강남구 테헤란로101,  A동 10호(역삼1동 821-1, 대우쇼핑타운)",편의점,GS25,GS25강남메트로점,51072124,"['커피', '음료수', '물']"
27,42985112,37.4975896,127.0287036,"(37.4975896,127.0287036)",02-133-6447,NULL,5.9,"서울 강남구 테헤란로2길8, 1층 (역삼동 825-1)",편의점,GS25,GS25강남본점,24470915,"['커피', '음료수', '물']"
28,57745285,37.4961496,127.03550765,"(37.4961496,127.03550765)",02-169-7985,NULL,3.2,서울 강남구 역삼로15길20 (역삼동 749-5),편의점,GS25,GS25강남사랑점,33454371,"['커피', '음료수', '물']"
29,74883731,37.50489517,127.04392313,"(37.50489517,127.04392313)",02-733-8170,NULL,3.3,서울 강남구 언주로98길25 (역삼동 699-27),편의점,GS25,GS25강남상록회관점,58454040,"['커피', '음료수', '물']"
30,99388073,37.50359433,127.02696322,"(37.50359433,127.02696322)",02-250-1538,NULL,4.2,서울 강남구 강남대로110길26 (역삼동 811-4),편의점,GS25,GS25강남리츠칼튼점,15208358,"['커피', '음료수', '물']"
31,56140451,37.49860238,127.02804585,"(37.49860238,127.02804585)",02-399-1728,NULL,4.1,"서울 강남구 테헤란로101,  A동 10호(역삼1동 821-1, 대우쇼핑타운)",편의점,GS25,GS25강남메트로점,73220828,"['커피', '음료수', '물']"
32,67418250,37.4975896,127.0287036,"(37.4975896,127.0287036)",02-214-4745,NULL,5.2,"서울 강남구 테헤란로2길8, 1층 (역삼동 825-1)",편의점,GS25,GS25강남본점,44638429,"['커피', '음료수', '물']"
33,65410918,37.4961496,127.03550765,"(37.4961496,127.03550765)",02-325-2705,NULL,4.5,서울 강남구 역삼로15길20 (역삼동 749-5),편의점,GS25,GS25강남사랑점,43519295,"['커피', '음료수', '물']"
34,78189817,37.50489517,127.04392313,"(37.50489517,127.04392313)",02-037-5901,NULL,4.0,서울 강남구 언주로98길25 (역삼동 699-27),편의점,GS25,GS25강남상록회관점,46613656,"['커피', '음료수', '물']"
35,22176965,37.47535526,127.10803093,"(37.47535526,127.10803093)",02-686-0515,NULL,4.9,"서울 강남구 밤고개로21길25, 상가동 지상1층 103호, 104호 (자곡동 361)",편의점,GS25,GS25강남세곡점,30714267,"['커피', '음료수', '물']"
36,1435584,37.49235279,127.03069385,"(37.49235279,127.03069385)",02-993-2379,NULL,4.2,"서울 강남구 강남대로328, 111호 (역삼1동 832-3, 강남역쉐르빌오피스텔)",편의점,GS25,GS25강남쉐르빌점,73021227,"['커피', '음료수', '물']"
37,44858354,37.50098036,127.02794716,"(37.50098036,127.02794716)",02-470-1916,NULL,3.2,"서울 강남구 강남대로98길17, 지하1층 (역삼동 620-9, 시티힐빌딩)",편의점,GS25,GS25강남시티힐점,91982681,"['커피', '음료수', '물']"
38,60170980,37.52802151,127.03240473,"(37.52802151,127.03240473)",02-978-2021,NULL,4.1,서울 강남구 언주로173길13 (신사동 619-3),편의점,GS25,GS25강남신사점,64737420,"['커피', '음료수', '물']"
39,49416586,37.49525324,127.0305772,"(37.49525324,127.0305772)",02-006-7402,NULL,4.0,"서울 강남구 테헤란로4길46,  109호(역삼1동 826-37, 쌍용플래티넘)",편의점,GS25,GS25강남쌍용점,45395918,"['커피', '음료수', '물']"
40,49616996,37.50342586,127.02839048,"(37.50342586,127.02839048)",02-822-4973,NULL,5.4,"서울 강남구 강남대로102길40, 1층 (역삼동 618-3)",편의점,GS25,GS25강남아트점,54939979,"['커피', '음료수', '물']"
41,98473237,37.47260453,127.10294222,"(37.47260453,127.10294222)",02-595-7434,NULL,4.6,"서울 강남구 자곡로174-10, 1동 107호, 108호  (자곡동 649, 강남에이스타워G9)",편의점,GS25,GS25강남에이스타워점,53509452,"['커피', '음료수', '물']"
42,99208683,37.51190619,127.06541585,"(37.51190619,127.06541585)",02-981-7786,NULL,4.1,서울 강남구 봉은사로114길46 (삼성1동 166-7),편의점,GS25,GS25강남엘지점,41401786,"['커피', '음료수', '물']"
43,37194251,37.5073942,127.04208155,"(37.5073942,127.04208155)",02-974-0253,NULL,4.6,"서울 강남구 봉은사로48길32, 지하1층 2호 (역삼동 690-29)",편의점,GS25,GS25강남역삼점,1542833,"['커피', '음료수', '물']"
44,76430125,37.51735111,127.02449956,"(37.51735111,127.02449956)",02-597-7276,NULL,4.5,서울 강남구 논현로149길50(논현1동 5-19),편의점,GS25,GS25강남영동점,23083421,"['커피', '음료수', '물']"
45,84166398,37.47366958,127.10317822,"(37.47366958,127.10317822)",02-195-2711,NULL,5.5,"서울 강남구 자곡로180, 111-2호 (자곡동 651, 강남유탑유블레스오피스텔)",편의점,GS25,GS25강남유블레스점,20683169,"['커피', '음료수', '물']"
46,7770833,37.51084855,127.05479647,"(37.51084855,127.05479647)",02-219-6669,NULL,3.8,"서울 강남구 삼성로550, 1층(삼성1동 150-19, 은성빌딩)",편의점,GS25,GS25강남은성점,7331908,"['커피', '음료수', '물']"
47,54178025,37.50569924,127.05764377,"(37.50569924,127.05764377)",02-263-8062,NULL,5.0,"서울 강남구 삼성로434, 1층 (대치동 942-4, 쥬비스타워)",편의점,GS25,GS25강남쥬비스점,57752070,"['커피', '음료수', '물']"
48,18377790,37.51889408,127.04907271,"(37.51889408,127.04907271)",02-474-8788,NULL,4.9,"서울 강남구 학동로441, 1층 (청담동 46-9)",편의점,GS25,GS25강남청담점,59730148,"['커피', '음료수', '물']"
49,59830938,37.49906792,127.02987194,"(37.49906792,127.02987194)",02-717-8978,NULL,3.7,"서울 강남구 테헤란로115, 1층(역삼1동 649-10, 서림빌딩)",편의점,GS25,GS25강남타운점,25163246,"['커피', '음료수', '물']"
