ID,연락처,주차시설,평점,주소,경도,위도,업체유형,가게명,지점명,판매자ID,판매상품목록
,,,,"서울 강남구 도산대로529, 4층 (청담동 125-17, KRA프라자)",127.05131,37.525079,편의점,GS25,R서울강남4점,,
,,,,"서울 강남구 테헤란로416, 마사회선릉지사 7층 (대치동 890-8, 연봉빌딩)",127.051921,37.504998,편의점,GS25,R선릉7점,,
,,,,"서울 강남구 봉은사로지하 601, , 9호선봉은사역 내 (삼성동 111-8)",127.060893,37.514359,편의점,GS25,S9봉은사역점,,
,,,,서울 강남구 봉은사로지하 501 (삼성동 111-147),127.052699,37.512886,편의점,GS25,S9삼성중앙역점,,
,,,,"서울 강남구 봉은사로지하 102, 9호선 신논현역 지하 상가 (역삼동)",127.025035,37.504637,편의점,GS25,S9신논현역점,,
,,,,"서울 강남구 봉은사로지하 201, 지하 1층 926-1호  (논현동 279-165, 9호선 언주역)",127.034284,37.507443,편의점,GS25,S9언주역점,,
,,,,서울 강남구 삼성동1 7호선강남구청역내,127.041796,37.516993,편의점,GS25,S강남구청역점,,
,,,,"서울 강남구 강남대로390, 지하1층 9호 (역삼동 825, 미진프라자)",127.02859,37.497833,편의점,GS25,S강남역1호점,,
,,,,"서울 강남구 강남대로390, B3층 38호  (역삼동 825)",127.02859,37.497833,편의점,GS25,S강남역2호점,,
,,,,"서울 강남구 강남대로390, 지하3층 (역삼동 825, 신분당선)",127.02859,37.497833,편의점,GS25,S강남역3호점,,
,,,,"서울 강남구 봉은사로지하 201, 지하 1층 926-1호  (논현동 279-165, 9호선 언주역)",127.034284,37.507443,편의점,GS25,S9언주역점,,
,,,,서울 강남구 삼성동1 7호선강남구청역내,127.041796,37.516993,편의점,GS25,S강남구청역점,,
,,,,"서울 강남구 강남대로390, 지하1층 9호 (역삼동 825, 미진프라자)",127.02859,37.497833,편의점,GS25,S강남역1호점,,
,,,,"서울 강남구 강남대로390, B3층 38호  (역삼동 825)",127.02859,37.497833,편의점,GS25,S강남역2호점,,
,,,,"서울 강남구 강남대로390, 지하3층 (역삼동 825, 신분당선)",127.02859,37.497833,편의점,GS25,S강남역3호점,,
,,,,"서울 강남구 자곡로3길22, LH강남3단지 상가동 1층 101호 (자곡동 621)",127.090974,37.470753,편의점,GS25,강남LH점,,
,,,,"서울 강남구 테헤란로129, 강남N타워 GF층 7호 (역삼동 648-17)",127.032368,37.499943,편의점,GS25,강남N타워점,,
,,,,서울 강남구 강남대로94길9 (역삼동 818-14),127.02809,37.499471,편의점,GS25,강남YBM점,,
,,,,"서울 강남구 개포로15길10, 1층 (개포동 1244-14)",127.045339,37.479196,편의점,GS25,강남개포점,,
,,,,"서울 강남구 논현로106길42, 1층 (역삼동 656-3)",127.037812,37.506859,편의점,GS25,강남갤러리점,,
,,,,"서울 강남구 언주로147길10, 1층 (논현동 63-19)",127.056755,37.476307,편의점,GS25,강남나누리점,,
,,,,"서울 강남구 선릉로420, 1층 7호 (대치동 897-3)",127.050283,37.502499,편의점,GS25,강남대치점,,
,,,,"서울 강남구 테헤란로77길7(삼성2동 143-28, 동원빌딩)",127.054504,37.506915,편의점,GS25,강남동원점,,
,,,,"서울 강남구 헌릉로569길21-30, 104호 (세곡동 615, 드림하이오피스텔)",127.100751,37.466364,편의점,GS25,강남드림하이점,,
,,,,"서울 강남구 압구정로54길16, 1층 (신사동 662-18)",127.039283,37.526829,편의점,GS25,강남로데오점,,
,,,,서울 강남구 강남대로110길26 (역삼동 811-4),127.026951,37.503637,편의점,GS25,강남리츠칼튼점,,
,,,,"서울 강남구 테헤란로101,  A동 10호(역삼1동 821-1, 대우쇼핑타운)",127.028063,37.49861,편의점,GS25,강남메트로점,,
,,,,"서울 강남구 테헤란로2길8, 1층 (역삼동 825-1)",127.028729,37.497638,편의점,GS25,강남본점,,
,,,,서울 강남구 역삼로15길20 (역삼동 749-5),127.035506,37.496166,편의점,GS25,강남사랑점,,
,,,,서울 강남구 언주로98길25 (역삼동 699-27),127.04395,37.504887,편의점,GS25,강남상록회관점,,
,,,,"서울 강남구 밤고개로21길25, 상가동 지상1층 103호, 104호 (자곡동 361)",127.109127,37.474869,편의점,GS25,강남세곡점,,
,,,,"서울 강남구 강남대로328, 111호 (역삼1동 832-3, 강남역쉐르빌오피스텔)",127.030923,37.492416,편의점,GS25,강남쉐르빌점,,
,,,,"서울 강남구 강남대로98길17, 지하1층 (역삼동 620-9, 시티힐빌딩)",127.027979,37.500971,편의점,GS25,강남시티힐점,,
,,,,서울 강남구 언주로173길13 (신사동 619-3),127.032451,37.528023,편의점,GS25,강남신사점,,
,,,,"서울 강남구 테헤란로4길46,  109호(역삼1동 826-37, 쌍용플래티넘)",127.030503,37.495652,편의점,GS25,강남쌍용점,,
,,,,"서울 강남구 강남대로102길40, 1층 (역삼동 618-3)",127.028368,37.503443,편의점,GS25,강남아트점,,
,,,,"서울 강남구 자곡로174-10, 1동 107호, 108호  (자곡동 649, 강남에이스타워G9)",127.103056,37.472669,편의점,GS25,강남에이스타워점,,
,,,,서울 강남구 봉은사로114길46 (삼성1동 166-7),127.065531,37.511914,편의점,GS25,강남엘지점,,
,,,,"서울 강남구 봉은사로48길32, 지하1층 2호 (역삼동 690-29)",127.042061,37.507415,편의점,GS25,강남역삼점,,
,,,,서울 강남구 논현로149길50(논현1동 5-19),127.028007,37.518525,편의점,GS25,강남영동점,,
,,,,"서울 강남구 자곡로180, 111-2호 (자곡동 651, 강남유탑유블레스오피스텔)",127.103223,37.473669,편의점,GS25,강남유블레스점,,
,,,,"서울 강남구 삼성로550, 1층(삼성1동 150-19, 은성빌딩)",127.054782,37.510859,편의점,GS25,강남은성점,,
,,,,"서울 강남구 삼성로434, 1층 (대치동 942-4, 쥬비스타워)",127.057671,37.505693,편의점,GS25,강남쥬비스점,,
,,,,"서울 강남구 학동로441, 1층 (청담동 46-9)",127.049088,37.518886,편의점,GS25,강남청담점,,
,,,,"서울 강남구 테헤란로115, 1층(역삼1동 649-10, 서림빌딩)",127.029923,37.499055,편의점,GS25,강남타운점,,
,,,,"서울 강남구 테헤란로10길14, 1층(역삼1동 823-8, 태강빌딩)",127.03234,37.498194,편의점,GS25,강남태강점,,
,,,,"서울 강남구 봉은사로4길29, 1층 (역삼1동 812)",127.026868,37.502971,편의점,GS25,강남태양점,,
,,,,서울 강남구 선릉로62길9 (대치동 936-25),127.053394,37.497416,편의점,GS25,강남한티점,,
,,,,"서울 강남구 역삼로315, 107호 (역삼동 716-4)",127.05031,37.500555,편의점,GS25,개나리SK점,,
,,,,서울 강남구 언주로110(개포1동 649),127.055588,37.485494,편의점,GS25,개포경남점,,